question_id,question,question_type,generated_answer,ground_truth,mrr,rouge_l,ndcg_at_5,precision_at_5,f1_score,exact_match,source_url,retrieved_urls,response_time
11,When did the waterways and rivers become more polluted?,factual,1972,[iii],1.0,0.0,1.0,0.6,0.0,0.0,https://en.wikipedia.org/wiki/Soap_substitute,"['https://en.wikipedia.org/wiki/Soap_substitute', 'https://en.wikipedia.org/wiki/Soap_substitute', 'https://en.wikipedia.org/wiki/Soap_substitute', 'https://en.wikipedia.org/wiki/Chaos_terrain', 'https://en.wikipedia.org/wiki/Chaos_terrain']",3.111819267272949
12,h,factual,h,What is the name of the song that the narrator is discussing ?,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Beso_(song),"['https://en.wikipedia.org/wiki/List_of_Gothic_brick_buildings_in_Germany', 'https://en.wikipedia.org/wiki/Frederick_Rosse', 'https://en.wikipedia.org/wiki/Eilidh_Watt', 'https://en.wikipedia.org/wiki/Frederick_Rosse', 'https://en.wikipedia.org/wiki/Manfred_Bietak']",8.30927300453186
13,sofr,factual,fed 's new policy aims to restore market stability,financial event affecting interest rates,1.0,0.0,1.0,0.6,0.0,0.0,https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market,"['https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market', 'https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market', 'https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market', 'https://en.wikipedia.org/wiki/SBI_Youth_for_India', 'https://en.wikipedia.org/wiki/He%27s_the_Greatest_Dancer']",3.968113899230957
14,sofr,factual,fed 's new policy aims to restore market stability,financial event affecting interest rates,1.0,0.0,1.0,0.6,0.0,0.0,https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market,"['https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market', 'https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market', 'https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market', 'https://en.wikipedia.org/wiki/SBI_Youth_for_India', 'https://en.wikipedia.org/wiki/He%27s_the_Greatest_Dancer']",4.029225587844849
15,who is daniel robinson married to?,factual,fanny roy,sarah robinson,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Nancy_Segal,"['https://en.wikipedia.org/wiki/Joseph_Roy_(Lower_Canada_politician)', 'https://en.wikipedia.org/wiki/Albert_Kingwell', 'https://en.wikipedia.org/wiki/Finding_Fanny', 'https://en.wikipedia.org/wiki/Sharky%27s_Machine', 'https://en.wikipedia.org/wiki/River_Vale,_New_Jersey']",8.135010719299316
16,What is the name of a zoo?,factual,cocotropus,epbc act,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Grey_nurse_shark_conservation,"['https://en.wikipedia.org/wiki/Uxmal', 'https://en.wikipedia.org/wiki/Fontaine-de-Vaucluse', 'https://en.wikipedia.org/wiki/Cocotropus', 'https://en.wikipedia.org/wiki/List_of_fossil_primates_of_South_America', 'https://en.wikipedia.org/wiki/Polyabolo']",8.232121706008911
17,what was the first steel roller coaster constructed in the world,factual,"high roller was a steel roller coaster constructed 1,070 feet 330 over the las vegas strip .",steel rollercoaster at stratosphere tower,1.0,0.0909090909090909,0.9197207891481876,0.4,0.09523809523809523,0.0,https://en.wikipedia.org/wiki/High_Roller_(Stratosphere),"['https://en.wikipedia.org/wiki/High_Roller_(Stratosphere)', 'https://en.wikipedia.org/wiki/Larry_Chickola', 'https://en.wikipedia.org/wiki/High_Roller_(Stratosphere)', 'https://en.wikipedia.org/wiki/Philippine_Navy_new_124-meter_Landing_Platform_Dock', 'https://en.wikipedia.org/wiki/Grauman%27s_Chinese_Theatre']",6.022129058837891
18,harold lloyd,factual,walt lloyd is a former narcolepsy patient,silent films are excerpted and displayed continuously in a small theater,0.2,0.1111111111111111,0.38685280723454163,0.2,0.1111111111111111,0.0,https://en.wikipedia.org/wiki/National_Capital_Trolley_Museum,"['https://en.wikipedia.org/wiki/Alfred_Harmsworth,_1st_Viscount_Northcliffe', 'https://en.wikipedia.org/wiki/List_of_people_with_narcolepsy', 'https://en.wikipedia.org/wiki/Special_(Lost)', 'https://en.wikipedia.org/wiki/River_Vale,_New_Jersey', 'https://en.wikipedia.org/wiki/National_Capital_Trolley_Museum']",4.768988370895386
19,Who was the first person to be allowed to sail aboard a ship without a ship?,factual,hms trent,mcclure,0.5,0.0,0.6509209298071326,0.4,0.0,0.0,https://en.wikipedia.org/wiki/McClure_Arctic_expedition,"['https://en.wikipedia.org/wiki/Amazon-class_frigate_(1795)', 'https://en.wikipedia.org/wiki/McClure_Arctic_expedition', 'https://en.wikipedia.org/wiki/Transat_New_York_Vend%C3%A9e', 'https://en.wikipedia.org/wiki/McClure_Arctic_expedition', 'https://en.wikipedia.org/wiki/Sir_John_Murray,_8th_Baronet']",8.045421123504639
20,where was the first album to be released?,factual,canada,the new york times,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Beso_(song),"['https://en.wikipedia.org/wiki/The_Wrong_Side_of_Heaven_and_the_Righteous_Side_of_Hell,_Volume_2', 'https://en.wikipedia.org/wiki/Dead_Set_on_Living', 'https://en.wikipedia.org/wiki/The_Answer_(band)', 'https://en.wikipedia.org/wiki/The_Wrong_Side_of_Heaven_and_the_Righteous_Side_of_Hell,_Volume_2', 'https://en.wikipedia.org/wiki/Young_%26_Dangerous_(album)']",3.597519874572754
21,What do economists believe could happen in the repo market?,factual,liquidity regulations,any sustained disruption,1.0,0.0,1.0,1.0,0.0,0.0,https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market,"['https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market', 'https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market', 'https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market', 'https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market', 'https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market']",5.103241443634033
22,"What does the ""a1234"" have?",factual,number 85,a white background with black signs,0.25,0.0,0.43067655807339306,0.2,0.0,0.0,https://en.wikipedia.org/wiki/Vehicle_registration_plates_of_Benin,"['https://en.wikipedia.org/wiki/Dinotopia_(miniseries)', 'https://en.wikipedia.org/wiki/85_(number)', 'https://en.wikipedia.org/wiki/8_Out_of_10_Cats_Does_Countdown', 'https://en.wikipedia.org/wiki/Vehicle_registration_plates_of_Benin', 'https://en.wikipedia.org/wiki/Sharky%27s_Machine']",3.730199098587036
23,how does carbonite backup,factual,carbonite backup is free and free of charge,integrates with windows explorer,1.0,0.0,1.0,1.0,0.0,0.0,"https://en.wikipedia.org/wiki/Carbonite,_Inc.","['https://en.wikipedia.org/wiki/Carbonite,_Inc.', 'https://en.wikipedia.org/wiki/Carbonite,_Inc.', 'https://en.wikipedia.org/wiki/Carbonite,_Inc.', 'https://en.wikipedia.org/wiki/Carbonite,_Inc.', 'https://en.wikipedia.org/wiki/Carbonite,_Inc.']",3.5198636054992676
24,,factual,ferdie savio rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosie rosi,What may be the reason for the dissenting senators encouraging the government to ignore the recommendations of the majority report ?,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Sustainable_Development_Goals_and_Australia,"['https://en.wikipedia.org/wiki/Finding_Fanny', 'https://en.wikipedia.org/wiki/Frederick_Rosse', 'https://en.wikipedia.org/wiki/8_Out_of_10_Cats_Does_Countdown', 'https://en.wikipedia.org/wiki/Frederick_Rosse', 'https://en.wikipedia.org/wiki/8_Out_of_10_Cats_Does_Countdown']",12.160773038864136
25,Electrostatic Accelerator,factual,a sulphur hexafluoride plant,the first was a vertical folded tandem electrostatic accelerator,1.0,0.15384615384615383,1.0,0.8,0.15384615384615383,0.0,https://en.wikipedia.org/wiki/Denys_Wilkinson_Building,"['https://en.wikipedia.org/wiki/Denys_Wilkinson_Building', 'https://en.wikipedia.org/wiki/Denys_Wilkinson_Building', 'https://en.wikipedia.org/wiki/Denys_Wilkinson_Building', 'https://en.wikipedia.org/wiki/Denys_Wilkinson_Building', 'https://en.wikipedia.org/wiki/85_mm_divisional_gun_D-44']",4.775842666625977
26,How long had it been since the sdg had approved the goals ?,factual,The sdgs has been a member of the sdgs for a long time .,It had been a year .,1.0,0.2222222222222222,1.0,1.0,0.26666666666666666,0.0,https://en.wikipedia.org/wiki/Sustainable_Development_Goals_and_Australia,"['https://en.wikipedia.org/wiki/Sustainable_Development_Goals_and_Australia', 'https://en.wikipedia.org/wiki/Sustainable_Development_Goals_and_Australia', 'https://en.wikipedia.org/wiki/Sustainable_Development_Goals_and_Australia', 'https://en.wikipedia.org/wiki/Sustainable_Development_Goals_and_Australia', 'https://en.wikipedia.org/wiki/Sustainable_Development_Goals_and_Australia']",3.9524765014648438
27,What was the name of the theater the auditorium was based on?,factual,tcl chinese theatre,a gigantic shrine,1.0,0.0,1.0,1.0,0.0,0.0,https://en.wikipedia.org/wiki/Grauman%27s_Chinese_Theatre,"['https://en.wikipedia.org/wiki/Grauman%27s_Chinese_Theatre', 'https://en.wikipedia.org/wiki/Grauman%27s_Chinese_Theatre', 'https://en.wikipedia.org/wiki/Grauman%27s_Chinese_Theatre', 'https://en.wikipedia.org/wiki/Grauman%27s_Chinese_Theatre', 'https://en.wikipedia.org/wiki/Grauman%27s_Chinese_Theatre']",4.232312917709351
28,the gravitational force causes what to do with gravity?,factual,lenticulae,fall to the earth,1.0,0.0,0.9469024295259745,0.6,0.0,0.0,https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton,"['https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton', 'https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton', 'https://en.wikipedia.org/wiki/Chaos_terrain', 'https://en.wikipedia.org/wiki/Sharky%27s_Machine', 'https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton']",3.819330930709839
29,Who released their second single never too late?,factual,rise,the answer,1.0,0.0,0.9674679834891693,0.6,0.0,0.0,https://en.wikipedia.org/wiki/The_Answer_(band),"['https://en.wikipedia.org/wiki/The_Answer_(band)', 'https://en.wikipedia.org/wiki/The_Answer_(band)', 'https://en.wikipedia.org/wiki/Ol%27_Rag_Blues', 'https://en.wikipedia.org/wiki/The_Answer_(band)', 'https://en.wikipedia.org/wiki/Kate_Markowitz']",3.0471761226654053
30,federal interest rates,factual,federal funds rates increase,measure of the interest rate on federal funds,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market,"['https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market', 'https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market', 'https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market', 'https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market', 'https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market']",3.569863796234131
31,who received a patent from the crown in april 1675?,factual,gravity hyperbola a member of the royal society,he,1.0,0.0,1.0,0.8,0.0,0.0,https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton,"['https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton', 'https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton', 'https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton', 'https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton', 'https://en.wikipedia.org/wiki/Funny_or_Die']",3.5829977989196777
32,What do the short and short scales refer to ?,factual,a large number,(iii),1.0,0.0,1.0,0.4,0.0,0.0,https://en.wikipedia.org/wiki/Billion,"['https://en.wikipedia.org/wiki/Billion', 'https://en.wikipedia.org/wiki/Billion', 'https://en.wikipedia.org/wiki/Hendecasyllable', 'https://en.wikipedia.org/wiki/Mecca_Jamilah_Sullivan', 'https://en.wikipedia.org/wiki/Hendecasyllable']",8.485476016998291
33,hq 's,factual,"whitepages , inc. is a music editor for the publishing firm willocks co. soho : a village-like community",trash talk,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Trash_talk,"['https://en.wikipedia.org/wiki/Whitepages_(company)', 'https://en.wikipedia.org/wiki/Frederick_Rosse', 'https://en.wikipedia.org/wiki/List_of_modern_military_towns', 'https://en.wikipedia.org/wiki/Frederick_Rosse', 'https://en.wikipedia.org/wiki/Soho_media_and_post-production_community']",9.613095045089722
34,What area of the state of New Jersey was a borough of the township River Vale in?,factual,bergen county,bergen county,1.0,1.0,1.0,1.0,1.0,1.0,"https://en.wikipedia.org/wiki/River_Vale,_New_Jersey","['https://en.wikipedia.org/wiki/River_Vale,_New_Jersey', 'https://en.wikipedia.org/wiki/River_Vale,_New_Jersey', 'https://en.wikipedia.org/wiki/River_Vale,_New_Jersey', 'https://en.wikipedia.org/wiki/River_Vale,_New_Jersey', 'https://en.wikipedia.org/wiki/River_Vale,_New_Jersey']",8.26227331161499
35,if a third strand of dna is introduced and contains adjoining regions able to hybridize with the frayed regions of the pre-existing double-strand,factual,dna polymerase ii is a dna polymerase that binds to a dna strand called a promoter and separates the dna strands.,branched dna can occur,1.0,0.08,1.0,1.0,0.10526315789473685,0.0,https://en.wikipedia.org/wiki/DNA,"['https://en.wikipedia.org/wiki/DNA', 'https://en.wikipedia.org/wiki/DNA', 'https://en.wikipedia.org/wiki/DNA', 'https://en.wikipedia.org/wiki/DNA', 'https://en.wikipedia.org/wiki/DNA']",9.51427412033081
36,What does dna look like?,factual,dna is a pair of strands that are tightly together.,double-strand,1.0,0.16666666666666669,1.0,1.0,0.0,0.0,https://en.wikipedia.org/wiki/DNA,"['https://en.wikipedia.org/wiki/DNA', 'https://en.wikipedia.org/wiki/DNA', 'https://en.wikipedia.org/wiki/DNA', 'https://en.wikipedia.org/wiki/DNA', 'https://en.wikipedia.org/wiki/DNA']",8.464470386505127
37,What was the fate of the mercenaries?,factual,chechen army commander,mcclure' two-party escape plan for spring 1853 was viewed by the expedition surgeon as recklessly dangerous,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/McClure_Arctic_expedition,"['https://en.wikipedia.org/wiki/Roman_conquest_of_Britain', 'https://en.wikipedia.org/wiki/The_Frozen_Deep', 'https://en.wikipedia.org/wiki/Amazon-class_frigate_(1795)', 'https://en.wikipedia.org/wiki/The_Frozen_Deep', 'https://en.wikipedia.org/wiki/Sergey_Surovikin']",3.842348098754883
38,"the answer released an ep in 2008 called never too late , which contained a track from what album ?",factual,rise album the answer released a new album in 2007 bedroom walls .,rise,1.0,0.15384615384615385,1.0,0.8,0.16666666666666669,0.0,https://en.wikipedia.org/wiki/The_Answer_(band),"['https://en.wikipedia.org/wiki/The_Answer_(band)', 'https://en.wikipedia.org/wiki/The_Answer_(band)', 'https://en.wikipedia.org/wiki/The_Answer_(band)', 'https://en.wikipedia.org/wiki/The_Answer_(band)', 'https://en.wikipedia.org/wiki/Bedroom_Walls']",3.720543146133423
39,How does the FDA describe the certification process?,factual,a humane label is not always a good thing,there are several important drawbacks and limitations to this certification,1.0,0.0,1.0,0.4,0.0,0.0,https://en.wikipedia.org/wiki/American_Humane_Certified,"['https://en.wikipedia.org/wiki/American_Humane_Certified', 'https://en.wikipedia.org/wiki/American_Humane_Certified', 'https://en.wikipedia.org/wiki/Stieng_language', 'https://en.wikipedia.org/wiki/Sustainable_Development_Goals_and_Australia', 'https://en.wikipedia.org/wiki/Sustainable_Development_Goals_and_Australia']",3.90685772895813
40,How was the path of a body falling from a height compared to the motion of the ea?,factual,The path of a body falling from a height was a straight line.,disagreed,1.0,0.0,0.9469024295259745,0.6,0.0,0.0,https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton,"['https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton', 'https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton', 'https://en.wikipedia.org/wiki/High_Roller_(Stratosphere)', 'https://en.wikipedia.org/wiki/Inclinometer', 'https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton']",3.285872459411621
41,What species of plant does ganoderma zonatum infect?,comparative,rainforest tree,palm,1.0,0.0,1.0,0.2,0.0,0.0,https://en.wikipedia.org/wiki/Ganoderma_zonatum,"['https://en.wikipedia.org/wiki/Ganoderma_zonatum', 'https://en.wikipedia.org/wiki/Litsea_bindoniana', 'https://en.wikipedia.org/wiki/Oplonia', 'https://en.wikipedia.org/wiki/Samuel_Paul_Wiltshire', 'https://en.wikipedia.org/wiki/Erythricium_salmonicolor']",8.302509307861328
42,how many days passed between the new york fed announcement and the closing of the federal reserve fund?,comparative,1,0,1.0,0.0,1.0,1.0,0.0,0.0,https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market,"['https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market', 'https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market', 'https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market', 'https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market', 'https://en.wikipedia.org/wiki/September_2019_events_in_the_U.S._repo_market']",5.035644292831421
43,Which age group was larger: married couples or non-families?,comparative,married couples,married couples,0.3333333333333333,1.0,0.5706417189553201,0.4,1.0,1.0,"https://en.wikipedia.org/wiki/River_Vale,_New_Jersey","['https://en.wikipedia.org/wiki/Dublin,_Indiana', 'https://en.wikipedia.org/wiki/Dublin,_Indiana', 'https://en.wikipedia.org/wiki/River_Vale,_New_Jersey', 'https://en.wikipedia.org/wiki/River_Vale,_New_Jersey', 'https://en.wikipedia.org/wiki/Boley,_Oklahoma']",6.992245197296143
44,Who had the worst situation on the iceberg in the first half of the 18th century?,comparative,investigator,the crew,1.0,0.0,1.0,0.4,0.0,0.0,https://en.wikipedia.org/wiki/McClure_Arctic_expedition,"['https://en.wikipedia.org/wiki/McClure_Arctic_expedition', 'https://en.wikipedia.org/wiki/McClure_Arctic_expedition', 'https://en.wikipedia.org/wiki/National_Capital_Trolley_Museum', 'https://en.wikipedia.org/wiki/2015_Polish_parliamentary_election', 'https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton']",3.430983781814575
45,The book was referred to by what name?,comparative,minuscule 96,chemistry,0.3333333333333333,0.0,0.5437713091520254,0.4,0.0,0.0,https://en.wikipedia.org/wiki/Al-Jildaki,"['https://en.wikipedia.org/wiki/Special_(Lost)', 'https://en.wikipedia.org/wiki/Minuscule_96', 'https://en.wikipedia.org/wiki/Al-Jildaki', 'https://en.wikipedia.org/wiki/The_Frozen_Deep', 'https://en.wikipedia.org/wiki/Al-Jildaki']",3.579664468765259
46,in which country?,comparative,scotland,spain,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Beso_(song),"['https://en.wikipedia.org/wiki/Moon_Shin', 'https://en.wikipedia.org/wiki/85_mm_divisional_gun_D-44', 'https://en.wikipedia.org/wiki/Michael_Sauter', 'https://en.wikipedia.org/wiki/Underwater_photography_(sport)', 'https://en.wikipedia.org/wiki/Steven_Osborne_(pianist)']",8.358362913131714
47,What was the most likely cause of a collision between the high roller and the cable train that the high roller was on?,comparative,The high roller was on a cable train.,the high roller was neither a fas,1.0,0.6666666666666666,1.0,0.4,0.6666666666666666,0.0,https://en.wikipedia.org/wiki/High_Roller_(Stratosphere),"['https://en.wikipedia.org/wiki/High_Roller_(Stratosphere)', 'https://en.wikipedia.org/wiki/High_Roller_(Stratosphere)', 'https://en.wikipedia.org/wiki/Larry_Chickola', 'https://en.wikipedia.org/wiki/Hadleigh_Railway', 'https://en.wikipedia.org/wiki/Jacob_L._Shinn']",5.326875925064087
48,lithium batteries,comparative,lithium batteries are a reversible intercalation mechanism,are potentially faster charging,1.0,0.18181818181818182,1.0,0.8,0.18181818181818182,0.0,https://en.wikipedia.org/wiki/Potassium-ion_battery,"['https://en.wikipedia.org/wiki/Potassium-ion_battery', 'https://en.wikipedia.org/wiki/Potassium-ion_battery', 'https://en.wikipedia.org/wiki/Potassium-ion_battery', 'https://en.wikipedia.org/wiki/Potassium-ion_battery', 'https://en.wikipedia.org/wiki/River_Vale,_New_Jersey']",5.3423614501953125
49,nationality,comparative,"Burundi is a country. Burundi, the nationality code was revised to allow dual nationality.",burundi,1.0,0.13333333333333333,1.0,0.6,0.15384615384615385,0.0,https://en.wikipedia.org/wiki/Burundian_nationality_law,"['https://en.wikipedia.org/wiki/Burundian_nationality_law', 'https://en.wikipedia.org/wiki/Burundian_nationality_law', 'https://en.wikipedia.org/wiki/Burundian_nationality_law', 'https://en.wikipedia.org/wiki/Carl_Levy_(political_scientist)', 'https://en.wikipedia.org/wiki/Carl_Levy_(political_scientist)']",9.062359094619751
50,what is the most common type of trash talk?,comparative,smack talk,(iii).,1.0,0.0,1.0,1.0,0.0,0.0,https://en.wikipedia.org/wiki/Trash_talk,"['https://en.wikipedia.org/wiki/Trash_talk', 'https://en.wikipedia.org/wiki/Trash_talk', 'https://en.wikipedia.org/wiki/Trash_talk', 'https://en.wikipedia.org/wiki/Trash_talk', 'https://en.wikipedia.org/wiki/Trash_talk']",3.60288405418396
51,what color was the marble?,comparative,i.e.,coral lacquer,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Grauman%27s_Chinese_Theatre,"['https://en.wikipedia.org/wiki/Al-Jildaki', 'https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton', 'https://en.wikipedia.org/wiki/New_York_Tendaberry', 'https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton', 'https://en.wikipedia.org/wiki/Sharky%27s_Machine']",8.145692110061646
